குமரேச சதகம் சொல்லடைவு
செய்தவன் - 47.1,2,2,3 
செய்தால் - 62.3 
செய்தி - 43.3 
செய்திசொன்னால் - 79.3 
செய்திட்டபேயும் - 25.3 
செய்திடுதல் - 101.2 
செய்திடும் - 42.3; 98.2 
செய்திடுவர் - 74.2 
செய்து - 22.1; 94.4 
செய்துஅமரர் - 3.2 
செய்துஉணார் - 36.1 
செய்துஎன்ன - 28.3 
செய்துவரு - 60.3 
செய்தேபெற்று - 8.1 
செய்தோர்கள் - 33.3; 47.1 
செய்பவர்க்கு - 27.4 
செய்யகலை - 15.3 
செய்யசபை - 79.2 
செய்யவே - 76.2 
செய்யின் - 62.2 
செய்யும்திரு - 90.3 
செய்வதில் - 54.1 
செய்வதின் - 54.2 
செய்வதும் - 7.2 
செயல்போலவும் - 2.2 
செயலையும் - 66.2 
செயாமல் - 28.3 
செயித்ததுஅன்றோ - 72.4 
செயின்விடாது - 62.1 
செயும்அளவில் - 80.2 
செயும்பூசை - 27.4 
செயும்முறைமைகாண் - 98.3 
செருவில்விட்டு - 59.3 
செல்உறாது - 77.1 
செல்லவசமோ - 72.2 
செல்லாத - 34.3; 69.1 
செல்லாது - 57.3 
செல்வநவமணிகளில் - 26.2 
செல்வம் - 28.3; 78.3 
செல்வம்ஏது - 82.2 
செல்வமிகு - 60.2 
செல்வமோ - 69.2 
செல்வரை - 79.2 
செலவிடார் - 6.3 
செலவு - 31.4 
செலவுஆகலால் - 36.3 
செலவுசெய்வார் - 6.1 
செவிகள் - 91.2 
செவியொடு - 90.1 
செழிக்கும்நலமும் - 7.2 
செழித்திடுவர் - 75.3 
செழிப்பதும் - 4.3; 16.3; 102.3 
செழுந்தேனை - 39.1 
செழும்படைக்கு - 78.3 
செறிவாகி - 29.3 
செறும்பகை - 22.1 
சென்றவழி - 69.1 
சென்றாலும் - 48.3 
சென்று - 87.3 
சென்றுஒருவர் - 57.1 
சென்றுதன் - 93.2 
சென்றுவர - 79.2 
சென்னி - 23.2; 91.2 
சேகரம்இலாத - 23.2 
சேடனுக்கு - 22.1 
சேடாக - 87.3 
சேயும் - 51.1 
சேர்இடம் - 72.3 
சேர்தலின் - 83.2 
சேர்ந்ததுஎன்ன - 46.2 
சேர்ந்திடுதல் - 101.1 
சேர்ந்திடும் - 78.3 
சேர்ந்துஒழுகல் - 101.3 
சேர்ந்தோர்க்கு - 50.3 
சேர்வதுகனதை - 100.2 
சேர்வேந்தன் - 15.3 
சேரில்ருசிஅதிகமாம் - 100.1 
சேரின் - 100.1 
சேரின்என்ஆம் - 100.2,3,3 
சேரின்நலம் - 100.3 
சேவகனையும் - 96.3 
சேற்றில் - 61.1 
சேனைமன் - 80.3 
சைம்முதல் - 77.3 
சையோகம் - 21.2 
சொந்தமானவர் - 94.3 
சொரிநறும் - 95.2 
சொரூப - 50.4 
சொல்அரிய - 7.2; 95.2 
சொல்ஆனது - 52.3 
சொல்எலாம் - 79.1 
சொல்லலாலும் - 98.3 
சொல்லாத - 37.2 
சொல்லியும் - 3.1 
சொல்லியே - 30.1 
சொல்லும் - 52.3; 54.3; 60.3 
சொல்லும்பதர் - 30.3 
சொல்லுவாள் - 79.1 
சொலாமைநன்று - 54.1 
சொலார் - 79.4 
சொலும் - 93.3 
சொற்கவிதை - 88.3 
சொற்குஉறுதி - 78.1 
சொன்னகதை - 72.3 
சொன்னகதைபோல் - 36.3 
சொன்னதுஅலவோ - 63.3 
சொன்னநக்கீரன் - 98.4 
சொன்னநெறி - 60.3 
சொன்னமொழி - 101.2 
சொன்னால் - 59.1 
சொன்னாலும் - 43.3 
சோடாய் - 87.1 
சோடுகாணாத - 31.2 
சோணாடு - 53.4; 62.4 
சோதரம்இலாதஉடல் - 23.2 
சோதரர்கள் - 98.1 
சோதரன் - 60.2 
சோபனங்களும் - 7.2 
சோபிதம் - 100.1 
சோம்பல் - 101.2 
சோம்பலொடு - 42.3 
சோமவாரம் - 26.1 
சோமுகன் - 49.2 
சோர்விலாதவருக்கு - 82.3 
சோர்வுபடல் - 34.2 
சோரமங்கையர்கள் - 38.1 
சோலைகாணாத - 31.2 
சோலையில் - 85.1 
சோறுகறி - 36.3 
சௌரியம் - 5.3 
சௌரியமே - 27.1 
ஞாயநெறி - 13.1 
ஞான - 11.1 
ஞானம்இலை - 67.3 
ஞானமுருகா - 45.4 
ஞானிஆனவனுக்குள் - 12.2 
டாக்கினோர் - 33.1 
டிச்சியை - 46.2 
ணாதகுயில்கள் - 31.3 
தக்கபெரியோர் - 30.1 
தக்கன் - 49.3 
தக்கோர் - 85.3 
தகிப்பார் - 4.2; 16.2; 102.2 
தகு - 98.1 
தகுகல்விமேல் - 11.3 
தகைபெறு - 26.1 
தங்கத்தில் - 100.2 
தங்கம்ஆனது - 19.1 
தங்கமக - 45.1 
தங்களொடு - 83.3 
தசரத - 47.1 
தஞ்சம்என - 99.2 
தஞ்சம்ஒரு - 83.2 
தடம்மேவு - 17.3 
தடமலை - 99.2 
தடிந்துஅருள் - 10.4 
தண் - 51.4 
தண்டம் - 36.2 
தண்ணீர் - 18.2 
தண்ணீர்வற்றி - 81.1 
தண்ணீரில் - 72.1 
தண்ணீரில்நிழல் - 80.1 
தண்ணீரின் - 92.1 
தண்ணீரும் - 95.3 
தணீரெலாம் - 45.2 
தத்தினில் - 26.1 
ததீசிமுதுகு - 99.2 
தந்திடின் - 89.3 
தந்திரம் - 27.3 
தந்துஎன்ன - 28.1 
தந்தை - 30.2 
தந்தைதாய் - 47.1 
தந்தையர் - 10.3; 44.1 
தந்தையை - 59.1 
தபோதனர் - 24.1 
தபோதனர்கள் - 7.1 
தம்தாரம் - 67.1 
தம்பட்ட - 55.1 
தம்பலத்தினோடும் - 89.2 
தம்பியோ - 44.2 
தம்மையும் - 96.2 
தம்மொடு - 30.1 
தமக்கு - 15.1; 82.1,2 
தமக்குஎலாம் - 10.2,2; 27.3 
தமக்குநிறை - 27.3 
தமக்குறுதி - 78.1 
தமதிடை - 84.2 
தமிழ்ப்புலவர் - 66.3 
தமிழில் - 85.3 
தமிழினில் - 26.3 
தமைப்பழித்தோர் - 20.2 
தமையன்அருள் - 47.1 
தமையன்மூன் - 44.3 
தயவுடையர் - 99.3 
தயிர்கள் - 32.4 
தயைஇருக்கும் - 9.2 
தயைஇல்லை - 67.1 
தயைஇலாதவர் - 82.1 
தயையாக - 8.1; 21.3 
தயையினால் - 10.4 
தர்மம்அதுகாண் - 63.3 
தரணிதனில் - 33.2 
தரள - 51.4 
தராதரம் - 28.1 
தராமல்என்ன - 28.1 
தரிக்கவே - 76.1 
தரிக்கினும் - 65.2; 89.3 
தரித்தமணி - 100.4 
தரித்திடில் - 45.3 
தரிப்பவர்க்கு - 90.2 
தருணத்தில் - 28.1 
தருணம்இது - 96.2 
தருநீதி - 40.3 
தரும் - 45.1; 62.3 
தரும்அலால் - 98.3 
தருமங்கள் - 33.2 
தருமத்திலே - 11.1 
தருமன் - 99.1 
தருமனுக்கு - 47.1 
தருவும்அவ்வாசனை - 45.1 
தருவோர்கள் - 11.3 
தரைஅதனில் - 72.1 
தரைமீதில் - 72.1 
தலத்தினில் - 26.1 
தலம் - 26.1 
தலைக்குஇடுதல் - 21.1 
தலைவா - 85.4 
தவசுபலம் - 27.2 
தவம்புரி - 24.1 
தவமது - 8.1 
தவருக்கு - 82.1 
தவளைசென்று - 80.1 
தவளையும் - 53.1 
தவறாது - 9.1; 101.2 
தவறாமல் - 13.1; 60.3 
தவறிடார்கள் - 68.2 
தவறிநடவாள் - 68.3 
தவறுஆகுமோ - 19.3 
தவிர் - 47.3 
தவிர்த்த - 12.4 
தவிர்த்தமுருகா - 68.4 
தவிர்த்தலாலும் - 98.2 
தழலில் - 19.1 
தழுவு - 85.4 
தழுவும்அழகா - 56.4 
தழுவுமணி - 80.4 
தழைக்கும் - 50.2 
தழையஇவண் - 62.4 
தள்ளிச்செய்வோர் - 42.1 
தள்ளினும் - 89.3 
தளகர்த்தரை - 5.2 
தளம்எலாம் - 15.1 
தன்உயிர்க்கு - 5.2 
தன்உயிரை - 15.1 
தன்ஒளி - 19.1 
தன்சோதரா - 93.4 
தன்பங்கு - 44.2 
தன்பாவம் - 48.3 
தன்பெருமை - 30.1 
தன்பேர் - 76.1 
தன்மணம் - 19.1 
தன்மனைவி - 30.3 
தன்முன்னே - 72.1 
தன்வீட்டில் - 62.1 
தன்னில் - 8.2 
தன்னில்இல்லாத - 28.4 
தன்னில்நினைவு - 11.1 
தன்னிலும் - 37.2,3 
தன்னிலே - 30.2; 74.1; 79.2 
தன்னுளே - 93.1 
தன்னை - 30.1; 96.2 
தன்னைமிஞ்சிச்சொன்ன - 44.2 
தன்னோடே - 48.3 
தனக்கு - 5.3; 51.2 
தனக்குஅஞ்சி - 34.3 
தனக்குஉறுதி - 78.3 
தனக்குஉறுதியாய் - 96.3 
தனக்குஎன்று - 63.3 
தனக்கும்வலுவாக - 36.2 
தனக்குவாங்கல் - 21.3 
தனது - 9.1 
தனதுஅகம் - 40.3 
தனதுஎன்று - 62.2; 94.1 
தனவணிகருக்கு - 11.2 
தனியே - 83.4 
தனில் - 11.3 
தனில்இட்டு - 44.4 
தனில்நீப - 43.4 
தனிலும் - 37.3 
தனிலே - 89.1 
தனிவழிக்கு - 67.2 
தனை - 33.2; 62.1 
தனைஇழுக்கும் - 93.2 
தனைக்கொடுத்தான் - 99.2 
தனைகவிதை - 65.1 
தனைவளர்த்தவர் - 56.3 
தனைவளர்த்தவன் - 8.1 
தனைவைத்த - 67.1 
தாகஅபி - 51.3 
தாகம் - 21.3 
தாண்டவம் - 90.3 
தாதுக்களால் - 40.3 
தாதுவின் - 13.3 
தாம் - 6.2 
தாம்அறிவரோ - 56.3 
தாம்உண்ண - 94.1 
தாம்பயன் - 42.1 
தாம்பார்த்து - 85.3 
தாம்பெற்ற - 94.2 
தாமரைஇலை - 101.3 
தாய்கலகம் - 77.3 
தாய்தந்தை - 101.2 
தாய்பழுது - 79.1 
தாய்புத்தி - 59.1 
தாய்வயிற்றில் - 92.3 
தார்க்குஏது - 82.1 
தாரகைகள் - 55.1 
தாரணியில் - 64.2 
தாராளமாக - 15.1 
தாரித்திரியம் - 54.3 
தாருகன் - 99.4 
தாருவில் - 26.1; 55.1 
தாரைவார்த்து - 53.2 
தாவென்று - 44.2 
தாழ்ச்சிகள் - 98.3 
தாழ்வாய் - 98.3 
தாழ்வான - 85.3 
தாழைமலர் - 57.2 
தான் - 42.1; 62.1 
தான - 47.2 
தானமது - 97.2 
தானமிகு - 11.3 
திகழ் - 89.2 
திகழ்சிப்பி - 61.1 
திகழ்தெய்வயானையும் - 80.4 
திகழ்பதுமராகமணி - 26.2 
திசைமெச்ச - 76.2 
திடம்இனிய - 29.3; 76.2 
திடமும் - 49.1 
திண்ணையில்இருந்தும் - 89.1 
திண்புயவாசனே - 19.4 
தியாகம் - 98.2 
தியாகிஉண்டு - 57.3 
தியாகிகள் - 15.1 
தியாகிகாணாஅறிஞர் - 31.3 
தியானம்இல்லாத - 23.2 
திரமான - 68.2 
திரவியம் - 36.1 
திரள்கொடுங்கோல் - 53.3 
திரள்பந்து - 58.2 
திரிக்கலாம் - 41.4 
திரிந்தபேர்கள் - 20.1 
திரிபுரரின் - 49.3 
திரிய - 87.2 
திருஇலா - 23.2 
திருடருக்குஇங்கு - 11.2 
திருடரை - 14.2 
திருடனுக்கு - 12.1 
திருத்திஇல்லை - 65.2 
திருநீறு - 89.2 
திருப்பவசமோ - 41.4 
திருப்பாற்கடல் - 26.4 
திருப்பிவிடலாம் - 41.1 
திரும்பிவாரா - 53.3 
திருமகள் - 69.1 
திருமாது - 9.1,1; 37.4 
திருமால் - 22.1 
திருமுடியின் - 61.1 
திரைஎறியும் - 17.1 
திறல்இருக்கும் - 9.3 
திறல்மிகும் - 29.3 
தின்நிறையும் - 66.2 
தின்னவே - 74.2 
தினம் - 94.1 
தினமும்ஓர் - 68.2 
தினமுமே - 91.1 
தினுஅளவில் - 36.3 
தீண்டவே - 87.3 
தீபம்இல்லாதமனை - 23.2 
தீம்சொல்புகல் - 17.1 
தீய்ந்திடும் - 50.2 
தீர்த்தமுருகா - 48.4 
தீர்த்துளோன் - 8.2 
தீரமும் - 49.1 
தீராத - 15.3; 34.1 
தீரும்என்பார் - 43.3 
தீவாதை - 53.3 
தீவினைகளையும் - 4.2; 16.2; 102.2 
தீனானது - 62.3 
துங்கமணி - 19.3 
துட்ட - 5.3 
துட்டமிருகங்களையும் - 41.1 
துட்டர்பகை - 72.3 
துட்டருக்கு - 82.3 
துட்டனே - 42.3 
துடிபெறு - 5.3 
துடியான - 49.1 
துடுக்கான - 49.1 
துணைஅடி - 101.2 
துணைஇல்லை - 84.4 
துணைகண்டு - 72.3 
துணையாய் - 3.3 
தும்பிமுகன் - 47.4 
துய்யனே - 60.3 
துயர்பட - 30.2 
துயில்இன்றி - 94.3 
துர்க்குணம் - 82.3 
துர்ச்சனரை - 14.1 
துர்ப்புத்தி - 84.3 
துரத்திவிடுவார் - 77.3 
துரிதத்தில் - 52.3 
துரியோதன் - 49.2 
துரும்பாய் - 74.4 
துரும்பு - 15.1,2; 69.2 
துருவுகண்டே - 87.1 
துரைகளை - 72.3 
துரைமக்கள் - 76.3 
துலங்கு - 7.2 
துலங்குகுணம் - 19.3 
துள்ளிவிழலும் - 86.1 
துளியையும் - 66.2 
துறவிக்குவிறல் - 15.3 
துன்பம்இது - 79.4 
துன்பினில் - 79.4 
தூங்கலே - 42.3 
தூயநிறை - 19.3 
தூறாக - 34.2 
தெய் - 15.4 
தெய்வங்களுக்கு - 98.2 
தெய்வம் - 3.3; 10.1,1,3,3,3,4 
தெய்வம்இது - 62.1 
தெய்வம்இவர் - 4.4; 16.4; 102.4 
தெய்வம்என்று - 60.2 
தெய்வமாம் - 10.1,2 
தெய்வயானையொடு - 12.4 
தெய்வானை - 100.4 
தெய்வானைகுற - 52.4 
தெய்வானையும் - 85.4 
தெய்வானையை - 14.4 
தெரிசியா - 91.1 
தெரித்திடாமல் - 94.3 
தெரிந்து - 13.1; 66.3 
தெரிவையர்கள் - 66.3 
தெரிவொடு - 89.2 
தெருளாக - 28.3 
தேக - 62.3 
தேகசீவன் - 77.1 
தேகத்தின் - 61.1 
தேகபரி - 90.2 
தேகம் - 3.2 
தேகவடு - 22.1 
தேகிஎன்றோர்க்கு - 47.2 
தேகிஎன - 28.3; 76.2 
தேசாந்தரம் - 52.2 
தேசுபெறு - 22.1 
தேடி - 36.1; 53.3 
தேடித்தம் - 77.1 
தேடிநாடும் - 85.1 
தேடியதை - 73.1 
தேடியே - 94.3; 98.2 
தேபிள்ளை - 36.3 
தேமலரில் - 26.2 
தேமிக்க - 3.2 
தேமுடல் - 50.3 
தேமேவிய - 0.2 
தேய்ந்தாலுமே - 19.1 
தேய்ந்து - 50.1 
தேய்ந்துவிட்டாலும் - 19.3 
தேய்பிறையது - 81.2 
தேய்வுடன் - 59.3 
தேவர்களும் - 35.2 
தேவர்கோன் - 61.2 
தேவர்சிறை - 46.2 
தேவாலயங்கட்டி - 33.1 
தேவாலயம் - 7.1; 91.1 
தேவியாம் - 44.3 
தேறில் - 50.3 
தேன்உண்டு - 57.1 
தேன்பருகு - 3.4 
தேன்வந்து - 100.1 
தேனு - 26.2 
தேனைநாடும் - 85.2 
தைத்துவிழ - 87.3 
தையலே - 64.2 
தைரியம் - 23.3; 67.1 
தைரியம்இல்லை - 79.2 
தைலம் - 21.1 
தைலம்இட்டு - 74.2 
தொகைபண்ணி - 94.3 
தொட்டு - 94.3 
தொடுத்தவாளி - 87.3 
தொடுத்துவில் - 87.1 
தொல்புவி - 7.2 
தொல்புவியில் - 101.2 
தொல்வளம் - 60.3 
தொலையா - 34.2; 79.2 
தொலையாத - 49.1 
தொழிலாளர் - 7.3 
தொழிலாளியை - 14.2 
தொன்மைதரு - 19.3 
தோரையும் - 96.3 
தோலாத - 5.3 
தோலாமல் - 87.1 
தோழர் - 30.1 
தோழர்காணா - 31.2 
தோற்றல்நன்று - 83.2 
தோற்றிடா - 43.1 
நக்கீரர்க்கு - 48.4 
நகர்க்குஉறுதி - 78.3 
நகைசெய்வர் - 74.3 
நஞ்சம் - 92.2 
நட்பகம் - 5.3 
நட்பாய் - 83.3 
நட்பாளர் - 28.1 
நட்பு - 23.3 
நட்புஇல்லை - 67.3 
நட்புடன் - 93.2 
நடக்கின்ற - 89.3 
நடக்கும் - 75.1 
நடக்கையால் - 32.1 
நடத்தலால் - 4.2; 16.2; 102.2 
நடத்திவரும் - 5.4 
நடத்துபவனே - 13.1 
நடத்தையை - 30.3 
நடப்பதும் - 7.1 
நடமாடு - 37.2 
நடனம்இடு - 46.4 
நடுகையும் - 51.1 
நடுங்க - 20.3 
நடுங்குவாள் - 64.3 
நடுவேபலம் - 27.2 
நடைஉறும் - 75.2 
நண்ணினால் - 91.3 
நண்ணு - 93.2 
நத்து - 96.3 
நத்தைதான் - 17.3 
நதிநீர் - 97.3 
நதியினில் - 26.1 
நந்தாத - 67.3 
நம்ப - 84.3 
நம்பலாமோ - 77.4 
நம்பற்கு - 44.4 
நம்பியே - 73.2; 97.3 
நம்பினவரையும் - 96.2 
நமன் - 53.2 
நயகுணம் - 41.1 
நயங்கள் - 85.3 
நயந்துகொளலும் - 86.2 
நயம்இல்லை - 67.3 
நயம்இலா - 39.3 
நயம்உரைப்பார் - 6.1 
நரகத்துஅனு - 64.3 
நரிஅல்லவோ - 80.3 
நரிவால்பற்றி - 97.3 
நல் - 59.2; 73.1 
நல்அமுது - 36.1 
நல்இனம் - 101.1 
நல்தீர்த்தம் - 91.3 
நல்நிலவும் - 75.2 
நல்பொருள் - 15.1 
நல்ல - 7.1; 8.2; 17.2; 84.3 
நல்லசுப - 37.2 
நல்லவார்த்தைகள் - 43.1 
நல்லறிவு - 11.1 
நல்லார் - 40.1 
நல்லோர் - 2.2; 18.3; 37.2; 50.3; 71.3 
நல்லோர்கள் - 25.3; 70.3; 98.3 
நல்லோர்களே - 56.3 
நல்லோரிடம் - 100.3 
நல்வார்த்தை - 98.3 
நலம்என்று - 71.3 
நலமாகவே - 53.2 
நலமான - 93.2 
நவமணி - 100.2 
நவில் - 12.3 
நவில்சகடு - 75.2 
நவில்சாதி - 93.2 
நவில்வேத - 7.1 
நவிலும் - 13.1 
நழுவவிடல் - 96.3 
நளாயினிசெய்தாள் - 47.3 
நளினம் - 70.1 
நற்புத்தி - 41.2 
நறவுபோலும் - 94.1 
நன்நயம் - 44.3 
நன்நயமது - 96.3 
நன்மையே - 98.3 
நன்றிஇல்லை - 12.1 
நன்றியும் - 95.3 
நன்றியை - 20.3 
நன்று - 83.1,2,3 
நன்றுகாண் - 54.3 
நாகரிகம் - 71.3 
நாட்டம்ஒரு - 74.3 
நாட்டிஇடுதல் - 101.2 
நாடிய - 7.1 
நாடியே - 98.3 
நாடிவருபவர்க்கு - 81.3 
நாடுஅறியவே - 53.2 
நாடுகாடு - 75.2 
நாடும் - 85.2 
நாடொறும் - 44.3 
நாணயம் - 6.2 
நாணாமல் - 74.3 
நாதருக்கு - 64.4 
நாமகள் - 15.3 
நாய்அறியுமோ - 56.2 
நாய்ப்பால் - 29.1 
நாய்வேட்டை - 53.2 
நாயகிதனை - 89.4 
நாயின்உடல் - 99.1 
நாரதன் - 26.2 
நால்ஆகிலோ - 74.2 
நால்நாழிதான் - 48.2 
நால்வர் - 47.1 
நாவார - 91.3 
நாவில்நல் - 84.3 
நாழியை - 48.2 
நாள்இரு - 73.2 
நாள்தோறும் - 7.1; 11.1 
நாளுக்குநாள் - 74.3 
நாளும் - 96.3 
நாளையில் - 71.3 
நானிலத்து - 91.3 
நிக்ரக - 5.3 
நிகர் - 5.2 
நிகர்என்று - 2.1,3 
நிகரா - 2.3 
நிகராம் - 29.4 
நிகரான - 3.3 
நிகரோ - 55.3 
நிசம் - 93.3 
நிசம்அல்ல - 75.3 
நிசம்அல்லவோ - 71.4 
நிசம்இல்லை - 12.1; 67.1 
நிசம்உரையார்கள் - 38.1 
நிட்டை - 23.2 
நிட்டைஇல்லாதவர் - 38.2 
நித்தம் - 90.2,3 
நித்தம்பிதா - 8.3 
நித்திரைகள் - 32.2 
நிதம்அழுக்கு - 38.3 
நிதமும் - 3.3 
நிதானமும் - 13.3 
நிதிஅரசர் - 70.3 
நிதிஇல்லை - 67.2 
நிதிகளை - 94.3 
நிதியே - 27.1 
நிதியோர் - 75.3 
நிந்தித்தவர்கள் - 20.1 
நிந்தை - 47.3; 59.1 
நிந்தைசெய்து - 34.2; 77.3 
நிபுணகவியே - 13.2 
நிமலன் - 90.2 
நியமமாய் - 65.3 
நியமிக்கினும் - 80.3 
நிர்வாகியே - 13.2 
நிலத்தினில் - 26.1; 47.3 
நிலமது - 4.3; 16.3; 102.3 
நிலவும்கடல் - 95.2 
நிலைஇல்லை - 67.2 
நிலைஏது - 82.1 
நிலைநிற்க - 33.2 
நிலைபெறும் - 13.2 
நிலையும் - 4.3; 16.3; 102.3 
நிழலில் - 38.1 
நிழலினொடு - 38.2 
நிற்கின்ற - 45.2 
நிற்கும்ஒரு - 42.2 
நிற்குமனையாள் - 44.1 
நிறங்கொடுக்கும் - 45.2 
நிறைபகல் - 75.3 
நிறைபட்சம் - 70.3 
நிறையதுஇல்லை - 12.1 
நிறையாக - 4.3; 16.3; 102.3 
நிறைவுடன் - 47.3 
நின் - 73.3 
நின்கமல - 91.1 
நின்றவர் - 42.1 
நின்றவோ - 49.3 
நின்றுஉருகி - 19.1 
நினை - 91.3 
நினைக்குமுன் - 3.3 
நினைத்தபொருள் - 69.4 
நினையாத - 91.1 
நினைவாய் - 90.2 
நினைவு - 11.1,1,2,2,2,3,3,3,4; 67.1 
நினைவுஎற்கு - 11.4 
நினைவைஎண்ணி - 73.2 
நினைவையும் - 66.1 
நீ - 10.4 
நீஎன்று - 56.4 
நீங்கவில்லை - 22.1 
நீங்காத - 57.2 
நீங்காமல் - 90.2 
நீங்கியே - 52.2 
நீங்கில்என்ன - 28.1 
நீங்கிவிடுமோ - 48.3 
நீசர்நிழலில் - 38.1 
நீடு - 4.4; 16.4; 19.4; 20.4; 102.4 
நீடுசருகு - 32.2 
நீடுபகல் - 75.3 
நீடுபல - 57.2 
நீடுவினை - 90.2 
நீண்டுஎன்ன - 29.3 
நீதி - 27.2 
நீதிஇல்லாஅரசு - 23.1 
நீதிநெறி - 4.3; 16.3; 102.3 
நீதிமன்னர் - 33.1 
நீதிமிகு - 70.3 
நீதியாகும் - 8.3 
நீதுணை - 84.4 
நீர் - 78.3 
நீர்பகையினால் - 32.2 
நீர்மேல் - 58.2 
நீர்மோர் - 21.2 
நீர்வற்றில் - 50.1 
நீரும் - 18.1 
நீழலும் - 18.1 
நீள் - 95.2 
நீள்அரவு - 57.2 
நீள்கடலில் - 72.1 
நீள்பலம் - 47.3 
நீள்மழை - 4.3; 16.3; 102.3 
நீளத்தையும் - 66.1 
நீற்றை - 90.1 
நுழைந்துதன் - 93.1 
நூற்றுவர் - 49.2 
நெடு - 99.1 
நெடுங்கிரியின் - 45.4 
நெடுமரந்தனில் - 92.2 
நெடுமைதிகழ் - 57.2 
நெய்இலா - 65.2 
நெய்யும் - 95.1 
நெல்லிஇலை - 64.2 
நெல்லினால் - 32.2 
நெற்றியில் - 90.2 
நெறியாளர்க்கு - 11.1 
நேசத்தை - 97.1 
நேசம் - 28.2; 70.3 
நேசம்ஆகும் - 61.2 
நேசம்ஆவார் - 69.2 
நேசமாய் - 25.2 
நேசமும் - 84.1 
நேசர்என்றும் - 63.1 
நேமிக்குள் - 3.3 
நேயமுடனேதன் - 13.2 
நேயர் - 31.2 
நேரில் - 51.2 
நொந்துதமிழ் - 98.4 
நோதலால் - 32.2 
நோய்அற்ற - 54.3 
ப்ரதட்சணம் - 22.1 
ப்ரதானி - 5.2 
பக்குவம் - 54.3 
பகர்தருமம் - 9.3,3 
பகர்ந்திடும் - 2.2 
பகர்முடிவிலே - 64.3 
பகல்காலம் - 71.1 
பகைமை - 80.3 
பகைமைநன்று - 54.2 
பகையாகும் - 73.4 
பகையாளி - 69.3 
பகையும் - 24.1,1,2,2,2,2,2,3,3,3 
பகையும்உண்டோ - 73.4 
பங்கயம் - 65.3 
பங்காளநேயா - 52.4 
பங்கில்உறு - 49.2 
பங்கேருகத்தினில் - 85.2 
பச்சைமயில் - 2.2 
பசிஇலா - 23.3 
பசித்துஅங்கு - 97.1 
பசிவேளை - 82.2 
பசுங்கிள்ளை - 95.4 
பசுந்தோகை - 70.1 
பசுமையாகும் - 45.3 
பசுவில் - 26.2 
பசுவிலே - 80.2 
பஞ்சரித்து - 83.1 
பஞ்சவர்கள் - 72.4 
பட்டமுயலும் - 53.2 
பட்டினிஇருக்கை - 83.1 
பட்டுஎன்று - 61.2 
படம் - 58.3 
படாதுகண்டாய் - 84.3 
படிஇரங்குவது - 74.3 
படிக்கும்இசை - 88.3 
படிகமணி - 100.1 
படிகமணிகட்குளே - 45.2 
படிமுடியுமாம் - 46.3 
படியாண்ட - 66.2 
படியே - 45.2 
படிவிசாரணையொடு - 5.2 
படுக்கைவீடு - 58.1 
படுத்திடும் - 42.3 
படைக்கும் - 46.2 
பண்ணினும் - 65.3 
பண்புஅறிந்தே - 5.2 
பண்புஇலா - 94.2 
பண்புறு - 92.3 
பணக்காரர் - 77.1 
பணமிலா - 82.1 
பணி - 91.2 
பணிஉடைமை - 65.1 
பத்தாவின் - 47.3 
பத்தி - 65.3 
பத்தியுடன் - 9.3 
பத்தியொடு - 90.1 
பத்தினி - 33.3 
பதத்தை - 73.3 
பதர் - 30.1,1,2,2,3,4; 35.1 
பதர்என்பர்காண் - 30.4 
பதர்தான் - 92.3 
பதறாமல் - 71.3 
பதார்த்தவகை - 65.2; 74.1 
பதுங்குதலும் - 86.1 
பதுங்குவார் - 36.2 
பந்தம்மிகு - 45.2 
பந்தலும் - 18.2 
பயந்திடுதலும் - 86.2 
பயம்ஏது - 82.3 
பயிர் - 31.1 
பயிர்காலம் - 71.2 
பயிர்கொண்டு - 51.1 
பயிர்விளைய - 71.2 
பயில்சோரருக்கு - 94.2 
பரத்தையர் - 77.4 
பரத்தையை - 25.4; 97.2 
பரதார - 84.2 
பரதாரம் - 20.1 
பரதாரமேல் - 67.1 
பரமசிவன் - 46.3 
பரமனுக்கு - 46.1 
பராக்ரமும் - 49.2 
பரித்தல் - 5.2 
பரிதனில் - 89.1 
பரிதானங்கள் - 63.1 
பரிதிஆனவனுக்கு - 22.2 
பரிந்துகையால் - 90.1 
பரிபாலனம் - 47.1,1,2,3 
பரிபூரணானந்த - 40.4 
பரிமள - 67.4 
பரியிலும் - 37.2 
பரிவாக - 83.1 
பருகுநீர் - 100.1 
பருத்த - 89.1 
பருத்தபுயமீதில் - 90.1 
பருத்துஎன்ன - 29.1 
பருந்துஆகுமோ - 48.1 
பருப்பத - 66.2 
பருவத்திலே - 51.1 
பல்கோடி - 73.2 
பல்லுயிர் - 5.2 
பல - 30.2; 66.2 
பலகல்வி - 76.3 
பலகூடி - 55.1,2,3 
பலகையில் - 89.1 
பலம் - 27.1,1,1,2,3 
பலம்இனிய - 51.1 
பலமொழி - 2.2 
பலர்மனை - 83.1 
பலருக்கும் - 35.1 
பலன்இல்லை - 95.3 
பலன்இலா - 55.3 
பலன்ஏதுகாண் - 91.3 
பலன்ஏதும் - 92.3 
பலாயன - 9.3 
பலிசையை - 14.2 
பவளத்தின் - 100.1 
பவிப்பர் - 64.3 
பழக்கம் - 62.2 
பழக்கமும் - 84.1 
பழகிய - 51.3 
பழகினவர் - 69.2 
பழகுவது - 83.3 
பழித்ததுர்மரணம் - 64.3 
பழித்திடும் - 79.3 
பழுத்தமரமும் - 18.2 
